https://lucide.dev/icons/


Glyph Name                | QML Hex    | Decimal
file-chart-column-increasing | \ue312     | 58130   
file-chart-line           | \ue313     | 58131   
file-chart-pie            | \ue314     | 58132   
file-clock                | \ue315     | 58133   
file-cog                  | \ue316     | 58134   
file-diff                 | \ue317     | 58135   
file-down                 | \ue318     | 58136   
file-exclamation-point    | \ue319     | 58137   
file-headphone            | \ue31a     | 58138   
file-heart                | \ue31b     | 58139   
file-image                | \ue31c     | 58140   
file-key                  | \ue31d     | 58141   
file-lock                 | \ue31e     | 58142   
file-pen                  | \ue31f     | 58143   
file-pen-line             | \ue320     | 58144   
file-play                 | \ue321     | 58145   
file-question-mark        | \ue322     | 58146   
file-scan                 | \ue323     | 58147   
file-search-corner        | \ue324     | 58148   
file-signal               | \ue325     | 58149   
file-spreadsheet          | \ue326     | 58150   
file-symlink              | \ue327     | 58151   
file-terminal             | \ue328     | 58152   
file-type                 | \ue329     | 58153   
file-up                   | \ue32a     | 58154   
file-video-camera         | \ue32b     | 58155   
file-volume               | \ue32c     | 58156   
folder-archive            | \ue32d     | 58157   
folder-check              | \ue32e     | 58158   
folder-clock              | \ue32f     | 58159   
folder-closed             | \ue330     | 58160   
folder-cog                | \ue331     | 58161   
folder-down               | \ue332     | 58162   
folder-heart              | \ue333     | 58163   
folder-input              | \ue334     | 58164   
folder-key                | \ue335     | 58165   
folder-lock               | \ue336     | 58166   
folder-output             | \ue337     | 58167   
folder-pen                | \ue338     | 58168   
folder-search             | \ue339     | 58169   
folder-search-2           | \ue33a     | 58170   
folder-symlink            | \ue33b     | 58171   
folder-tree               | \ue33c     | 58172   
folder-up                 | \ue33d     | 58173   
folder-x                  | \ue33e     | 58174   
folders                   | \ue33f     | 58175   
package-2                 | \ue340     | 58176   
server-cog                | \ue341     | 58177   
user-cog                  | \ue342     | 58178   
party-popper              | \ue343     | 58179   
cake                      | \ue344     | 58180   
circle-dot                | \ue345     | 58181   
circle-ellipsis           | \ue346     | 58182   
toy-brick                 | \ue347     | 58183   
newspaper                 | \ue348     | 58184   
mic-vocal                 | \ue349     | 58185   
music-2                   | \ue34a     | 58186   
music-3                   | \ue34b     | 58187   
music-4                   | \ue34c     | 58188   
air-vent                  | \ue34d     | 58189   
apple                     | \ue34e     | 58190   
banana                    | \ue34f     | 58191   
cherry                    | \ue350     | 58192   
egg-fried                 | \ue351     | 58193   
grape                     | \ue352     | 58194   
ice-cream-cone            | \ue353     | 58195   
pizza                     | \ue354     | 58196   
joystick                  | \ue355     | 58197   
usb                       | \ue356     | 58198   
wand-sparkles             | \ue357     | 58199   
bone                      | \ue358     | 58200   
git-compare               | \ue359     | 58201   
git-pull-request-closed   | \ue35a     | 58202   
git-pull-request-draft    | \ue35b     | 58203   
tags                      | \ue35c     | 58204   
flip-horizontal-2         | \ue35d     | 58205   
flip-vertical-2           | \ue35e     | 58206   
square-centerline-dashed-horizontal | \ue35f     | 58207   
square-centerline-dashed-vertical | \ue360     | 58208   
mail-check                | \ue361     | 58209   
mail-minus                | \ue362     | 58210   
mail-open                 | \ue363     | 58211   
mail-plus                 | \ue364     | 58212   
mail-question-mark        | \ue365     | 58213   
mail-search               | \ue366     | 58214   
mail-warning              | \ue367     | 58215   
mail-x                    | \ue368     | 58216   
mails                     | \ue369     | 58217   
braces                    | \ue36a     | 58218   
file-braces               | \ue36b     | 58219   
file-braces-corner        | \ue36c     | 58220   
file-type-corner          | \ue36d     | 58221   
heart-pulse               | \ue36e     | 58222   
medal                     | \ue36f     | 58223   
megaphone-off             | \ue370     | 58224   
scan-face                 | \ue371     | 58225   
sun-snow                  | \ue372     | 58226   
trophy                    | \ue373     | 58227   
webhook                   | \ue374     | 58228   
citrus                    | \ue375     | 58229   
rectangle-horizontal      | \ue376     | 58230   
rectangle-vertical        | \ue377     | 58231   
concierge-bell            | \ue378     | 58232   
fan                       | \ue379     | 58233   
microwave                 | \ue37a     | 58234   
refrigerator              | \ue37b     | 58235   
shower-head               | \ue37c     | 58236   
arrow-up-down             | \ue37d     | 58237   
sailboat                  | \ue37e     | 58238   
plug                      | \ue37f     | 58239   
plug-2                    | \ue380     | 58240   
book-open-check           | \ue381     | 58241   
ear                       | \ue382     | 58242   
ear-off                   | \ue383     | 58243   
heading                   | \ue384     | 58244   
heading-1                 | \ue385     | 58245   
heading-2                 | \ue386     | 58246   
heading-3                 | \ue387     | 58247   
heading-4                 | \ue388     | 58248   
heading-5                 | \ue389     | 58249   
heading-6                 | \ue38a     | 58250   
spline                    | \ue38b     | 58251   
cat                       | \ue38c     | 58252   
dog                       | \ue38d     | 58253   
check-check               | \ue38e     | 58254   
bean                      | \ue38f     | 58255   
bean-off                  | \ue390     | 58256   
candy                     | \ue391     | 58257   
candy-off                 | \ue392     | 58258   
dna                       | \ue393     | 58259   
dna-off                   | \ue394     | 58260   
egg-off                   | \ue395     | 58261   
flask-conical-off         | \ue396     | 58262   
hop                       | \ue397     | 58263   
hop-off                   | \ue398     | 58264   
milk                      | \ue399     | 58265   
milk-off                  | \ue39a     | 58266   
nut                       | \ue39b     | 58267   
nut-off                   | \ue39c     | 58268   
vegan                     | \ue39d     | 58269   
wheat                     | \ue39e     | 58270   
wheat-off                 | \ue39f     | 58271   
wine-off                  | \ue3a0     | 58272   
dumbbell                  | \ue3a1     | 58273   
monitor-smartphone        | \ue3a2     | 58274   
pilcrow                   | \ue3a3     | 58275   
captions                  | \ue3a4     | 58276   
beef                      | \ue3a5     | 58277   
fish                      | \ue3a6     | 58278   
ice-cream-bowl            | \ue3a7     | 58279   
salad                     | \ue3a8     | 58280   
sandwich                  | \ue3a9     | 58281   
soup                      | \ue3aa     | 58282   
database-backup           | \ue3ab     | 58283   
battery-warning           | \ue3ac     | 58284   
vote                      | \ue3ad     | 58285   
picture-in-picture        | \ue3ae     | 58286   
picture-in-picture-2      | \ue3af     | 58287   
fish-off                  | \ue3b0     | 58288   
grip                      | \ue3b1     | 58289   
creative-commons          | \ue3b2     | 58290   
remove-formatting         | \ue3b3     | 58291   
construction              | \ue3b4     | 58292   
funnel-x                  | \ue3b5     | 58293   
square-split-horizontal   | \ue3b6     | 58294   
square-split-vertical     | \ue3b7     | 58295   
hand-helping              | \ue3b8     | 58296   
footprints                | \ue3b9     | 58297   
ship                      | \ue3ba     | 58298   
stamp                     | \ue3bb     | 58299   
tower-control             | \ue3bc     | 58300   
pill                      | \ue3bd     | 58301   
tablets                   | \ue3be     | 58302   
router                    | \ue3bf     | 58303   
blinds                    | \ue3c0     | 58304   
forklift                  | \ue3c1     | 58305   
utility-pole              | \ue3c2     | 58306   
nfc                       | \ue3c3     | 58307   
smartphone-nfc            | \ue3c4     | 58308   
bird                      | \ue3c5     | 58309   
brain                     | \ue3c6     | 58310   
brain-circuit             | \ue3c7     | 58311   
brain-cog                 | \ue3c8     | 58312   
circle-parking            | \ue3c9     | 58313   
circle-parking-off        | \ue3ca     | 58314   
square-parking            | \ue3cb     | 58315   
square-parking-off        | \ue3cc     | 58316   
plane-landing             | \ue3cd     | 58317   
plane-takeoff             | \ue3ce     | 58318   
square-chevron-down       | \ue3cf     | 58319   
square-chevron-left       | \ue3d0     | 58320   
square-chevron-right      | \ue3d1     | 58321   
square-chevron-up         | \ue3d2     | 58322   
receipt                   | \ue3d3     | 58323   
mailbox                   | \ue3d4     | 58324   
door-closed               | \ue3d5     | 58325   
door-open                 | \ue3d6     | 58326   
atom                      | \ue3d7     | 58327   
case-lower                | \ue3d8     | 58328   
case-sensitive            | \ue3d9     | 58329   
case-upper                | \ue3da     | 58330   
replace                   | \ue3db     | 58331   
replace-all               | \ue3dc     | 58332   
space                     | \ue3dd     | 58333   
text-select               | \ue3de     | 58334   
whole-word                | \ue3df     | 58335   
castle                    | \ue3e0     | 58336   
church                    | \ue3e1     | 58337   
hotel                     | \ue3e2     | 58338   
school                    | \ue3e3     | 58339   
store                     | \ue3e4     | 58340   
university                | \ue3e5     | 58341   
warehouse                 | \ue3e6     | 58342   
orbit                     | \ue3e7     | 58343   
clipboard-paste           | \ue3e8     | 58344   
step-back                 | \ue3e9     | 58345   
step-forward              | \ue3ea     | 58346   
rat                       | \ue3eb     | 58347   
book-copy                 | \ue3ec     | 58348   
book-dashed               | \ue3ed     | 58349   
book-down                 | \ue3ee     | 58350   
book-key                  | \ue3ef     | 58351   
book-lock                 | \ue3f0     | 58352   
book-marked               | \ue3f1     | 58353   
book-minus                | \ue3f2     | 58354   
book-plus                 | \ue3f3     | 58355   
book-up                   | \ue3f4     | 58356   
book-x                    | \ue3f5     | 58357   
disc-2                    | \ue3f6     | 58358   
circle-arrow-out-down-left | \ue3f7     | 58359   
circle-arrow-out-down-right | \ue3f8     | 58360   
circle-arrow-out-up-left  | \ue3f9     | 58361   
circle-arrow-out-up-right | \ue3fa     | 58362   
copy-check                | \ue3fb     | 58363   
copy-minus                | \ue3fc     | 58364   
copy-plus                 | \ue3fd     | 58365   
copy-slash                | \ue3fe     | 58366   
copy-x                    | \ue3ff     | 58367   
circle-equal              | \ue400     | 58368   
circle-off                | \ue401     | 58369   
circle-slash              | \ue402     | 58370   
circuit-board             | \ue403     | 58371   
radio-tower               | \ue404     | 58372   
test-tube                 | \ue405     | 58373   
test-tube-diagonal        | \ue406     | 58374   
test-tubes                | \ue407     | 58375   
list-tree                 | \ue408     | 58376   
folder-git                | \ue409     | 58377   
folder-git-2              | \ue40a     | 58378   
message-square-dashed     | \ue40b     | 58379   
message-square-plus       | \ue40c     | 58380   
messages-square           | \ue40d     | 58381   
shield-question-mark      | \ue40e     | 58382   
save-all                  | \ue40f     | 58383   
moon-star                 | \ue410     | 58384   
repeat-2                  | \ue411     | 58385   
sparkles                  | \ue412     | 58386   
arrow-down-0-1            | \ue413     | 58387   
arrow-down-1-0            | \ue414     | 58388   
arrow-down-a-z            | \ue415     | 58389   
arrow-down-z-a            | \ue416     | 58390   
arrow-right-left          | \ue417     | 58391   
arrow-up-0-1              | \ue418     | 58392   
arrow-up-1-0              | \ue419     | 58393   
arrow-up-a-z              | \ue41a     | 58394   
arrow-up-wide-narrow      | \ue41b     | 58395   
arrow-up-z-a              | \ue41c     | 58396   
arrow-big-down-dash       | \ue41d     | 58397   
arrow-big-left-dash       | \ue41e     | 58398   
arrow-big-right-dash      | \ue41f     | 58399   
arrow-big-up-dash         | \ue420     | 58400   
monitor-down              | \ue421     | 58401   
monitor-up                | \ue422     | 58402   
iteration-ccw             | \ue423     | 58403   
iteration-cw              | \ue424     | 58404   
workflow                  | \ue425     | 58405   
app-window                | \ue426     | 58406   
square-arrow-down         | \ue427     | 58407   
square-arrow-left         | \ue428     | 58408   
square-arrow-right        | \ue429     | 58409   
square-arrow-up           | \ue42a     | 58410   
bell-dot                  | \ue42b     | 58411   
panel-bottom              | \ue42c     | 58412   
panel-bottom-close        | \ue42d     | 58413   
panel-bottom-dashed       | \ue42e     | 58414   
panel-bottom-open         | \ue42f     | 58415   
panel-left-dashed         | \ue430     | 58416   
panel-right               | \ue431     | 58417   
panel-right-close         | \ue432     | 58418   
panel-right-dashed        | \ue433     | 58419   
panel-right-open          | \ue434     | 58420   
panel-top                 | \ue435     | 58421   
panel-top-close           | \ue436     | 58422   
panel-top-dashed          | \ue437     | 58423   
panel-top-open            | \ue438     | 58424   
rows-2                    | \ue439     | 58425   
ligature                  | \ue43a     | 58426   
fold-horizontal           | \ue43b     | 58427   
fold-vertical             | \ue43c     | 58428   
unfold-horizontal         | \ue43d     | 58429   
unfold-vertical           | \ue43e     | 58430   
merge                     | \ue43f     | 58431   
split                     | \ue440     | 58432   
biohazard                 | \ue441     | 58433   
radiation                 | \ue442     | 58434   
brackets                  | \ue443     | 58435   
parentheses               | \ue444     | 58436   
memory-stick              | \ue445     | 58437   
pc-case                   | \ue446     | 58438   
satellite                 | \ue447     | 58439   
satellite-dish            | \ue448     | 58440   
touchpad                  | \ue449     | 58441   
touchpad-off              | \ue44a     | 58442   
wallpaper                 | \ue44b     | 58443   
combine                   | \ue44c     | 58444   
arrow-down-to-dot         | \ue44d     | 58445   
arrow-up-from-dot         | \ue44e     | 58446   
dot                       | \ue44f     | 58447   
redo-dot                  | \ue450     | 58448   
undo-dot                  | \ue451     | 58449   
list-restart              | \ue452     | 58450   
square-menu               | \ue453     | 58451   
arrow-down-from-line      | \ue454     | 58452   
arrow-down-to-line        | \ue455     | 58453   
arrow-left-from-line      | \ue456     | 58454   
arrow-left-to-line        | \ue457     | 58455   
arrow-right-from-line     | \ue458     | 58456   
arrow-right-to-line       | \ue459     | 58457   
arrow-up-from-line        | \ue45a     | 58458   
arrow-up-to-line          | \ue45b     | 58459   
plug-zap                  | \ue45c     | 58460   
unplug                    | \ue45d     | 58461   
file-code-corner          | \ue45e     | 58462   
scroll-text               | \ue45f     | 58463   
list-filter               | \ue460     | 58464   
circle-user               | \ue461     | 58465   
circle-user-round         | \ue462     | 58466   
contact-round             | \ue463     | 58467   
group                     | \ue464     | 58468   
square-user               | \ue465     | 58469   
square-user-round         | \ue466     | 58470   
ungroup                   | \ue467     | 58471   
user-round                | \ue468     | 58472   
user-round-check          | \ue469     | 58473   
user-round-cog            | \ue46a     | 58474   
user-round-minus          | \ue46b     | 58475   
user-round-plus           | \ue46c     | 58476   
user-round-x              | \ue46d     | 58477   
users-round               | \ue46e     | 58478   
leafy-green               | \ue46f     | 58479   
layout-panel-left         | \ue470     | 58480   
layout-panel-top          | \ue471     | 58481   
pi                        | \ue472     | 58482   
variable                  | \ue473     | 58483   
badge                     | \ue474     | 58484   
badge-alert               | \ue475     | 58485   
badge-dollar-sign         | \ue476     | 58486   
badge-info                | \ue477     | 58487   
badge-minus               | \ue478     | 58488   
badge-percent             | \ue479     | 58489   
badge-plus                | \ue47a     | 58490   
badge-question-mark       | \ue47b     | 58491   
badge-x                   | \ue47c     | 58492   
circle-dollar-sign        | \ue47d     | 58493   
sparkle                   | \ue47e     | 58494   
ferris-wheel              | \ue47f     | 58495   
roller-coaster            | \ue480     | 58496   
square-play               | \ue481     | 58497   
monitor-check             | \ue482     | 58498   
monitor-dot               | \ue483     | 58499   
monitor-pause             | \ue484     | 58500   
monitor-play              | \ue485     | 58501   
monitor-stop              | \ue486     | 58502   
monitor-x                 | \ue487     | 58503   
square-pi                 | \ue488     | 58504   
square-sigma              | \ue489     | 58505   
chart-scatter             | \ue48a     | 58506   
square-pilcrow            | \ue48b     | 58507   
move-down                 | \ue48c     | 58508   
move-down-left            | \ue48d     | 58509   
move-down-right           | \ue48e     | 58510   
move-left                 | \ue48f     | 58511   
move-right                | \ue490     | 58512   
move-up                   | \ue491     | 58513   
move-up-left              | \ue492     | 58514   
move-up-right             | \ue493     | 58515   
disc-3                    | \ue494     | 58516   
spray-can                 | \ue495     | 58517   
club                      | \ue496     | 58518   
radar                     | \ue497     | 58519   
refresh-cw-off            | \ue498     | 58520   
spade                     | \ue499     | 58521   
spell-check               | \ue49a     | 58522   
spell-check-2             | \ue49b     | 58523   
ampersand                 | \ue49c     | 58524   
ampersands                | \ue49d     | 58525   
text-quote                | \ue49e     | 58526   
squirrel                  | \ue49f     | 58527   
pocket-knife              | \ue4a0     | 58528   
file-stack                | \ue4a1     | 58529   
square-stack              | \ue4a2     | 58530   
key-round                 | \ue4a3     | 58531   
key-square                | \ue4a4     | 58532   
goal                      | \ue4a5     | 58533   
book-up-2                 | \ue4a6     | 58534   
chart-bar-big             | \ue4a7     | 58535   
chart-candlestick         | \ue4a8     | 58536   
chart-column-big          | \ue4a9     | 58537   
search-check              | \ue4aa     | 58538   
search-code               | \ue4ab     | 58539   
search-slash              | \ue4ac     | 58540   
search-x                  | \ue4ad     | 58541   
presentation              | \ue4ae     | 58542   
projector                 | \ue4af     | 58543   
circle-dashed             | \ue4b0     | 58544   
circle-dot-dashed         | \ue4b1     | 58545   
refresh-ccw-dot           | \ue4b2     | 58546   
shapes                    | \ue4b3     | 58547   
square-activity           | \ue4b4     | 58548   
square-arrow-down-left    | \ue4b5     | 58549   
square-arrow-down-right   | \ue4b6     | 58550   
square-arrow-up-left      | \ue4b7     | 58551   
square-arrow-up-right     | \ue4b8     | 58552   
cake-slice                | \ue4b9     | 58553   
candy-cane                | \ue4ba     | 58554   
dessert                   | \ue4bb     | 58555   
donut                     | \ue4bc     | 58556   
lollipop                  | \ue4bd     | 58557   
popcorn                   | \ue4be     | 58558   
popsicle                  | \ue4bf     | 58559   
square-dashed-bottom      | \ue4c0     | 58560   
square-dashed-bottom-code | \ue4c1     | 58561   
rainbow                   | \ue4c2     | 58562   
list-todo                 | \ue4c3     | 58563   
chart-no-axes-gantt       | \ue4c4     | 58564   
folder-dot                | \ue4c5     | 58565   
folder-kanban             | \ue4c6     | 58566   
folder-open-dot           | \ue4c7     | 58567   
folder-root               | \ue4c8     | 58568   
folder-sync               | \ue4c9     | 58569   
cassette-tape             | \ue4ca     | 58570   
videotape                 | \ue4cb     | 58571   
wallet-cards              | \ue4cc     | 58572   
wallet-minimal            | \ue4cd     | 58573   
gallery-horizontal        | \ue4ce     | 58574   
gallery-horizontal-end    | \ue4cf     | 58575   
gallery-thumbnails        | \ue4d0     | 58576   
gallery-vertical          | \ue4d1     | 58577   
gallery-vertical-end      | \ue4d2     | 58578   
chart-area                | \ue4d3     | 58579   
arrows-up-from-line       | \ue4d4     | 58580   
container                 | \ue4d5     | 58581   
tally-1                   | \ue4d6     | 58582   
tally-2                   | \ue4d7     | 58583   
tally-3                   | \ue4d8     | 58584   
tally-4                   | \ue4d9     | 58585   
tally-5                   | \ue4da     | 58586   
table-properties          | \ue4db     | 58587   
kanban                    | \ue4dc     | 58588   
circle-chevron-down       | \ue4dd     | 58589   
circle-chevron-left       | \ue4de     | 58590   
circle-chevron-right      | \ue4df     | 58591   
circle-chevron-up         | \ue4e0     | 58592   
circle-gauge              | \ue4e1     | 58593   
antenna                   | \ue4e2     | 58594   
cable                     | \ue4e3     | 58595   
computer                  | \ue4e4     | 58596   
hard-drive-download       | \ue4e5     | 58597   
hard-drive-upload         | \ue4e6     | 58598   
hdmi-port                 | \ue4e7     | 58599   
ratio                     | \ue4e8     | 58600   
scissors-line-dashed      | \ue4e9     | 58601   
shopping-basket           | \ue4ea     | 58602   
square-bottom-dashed-scissors | \ue4eb     | 58603   
square-scissors           | \ue4ec     | 58604   
triangle-right            | \ue4ed     | 58605   
boom-box                  | \ue4ee     | 58606   
bring-to-front            | \ue4ef     | 58607   
pencil-line               | \ue4f0     | 58608   
pencil-ruler              | \ue4f1     | 58609   
send-horizontal           | \ue4f2     | 58610   
send-to-back              | \ue4f3     | 58611   
fish-symbol               | \ue4f4     | 58612   
paw-print                 | \ue4f5     | 58613   
rabbit                    | \ue4f6     | 58614   
shell                     | \ue4f7     | 58615   
snail                     | \ue4f8     | 58616   
turtle                    | \ue4f9     | 58617   
blocks                    | \ue4fa     | 58618   
bus-front                 | \ue4fb     | 58619   
cable-car                 | \ue4fc     | 58620   
car-front                 | \ue4fd     | 58621   
car-taxi-front            | \ue4fe     | 58622   
grid-2x2                  | \ue4ff     | 58623   
parking-meter             | \ue500     | 58624   
rail-symbol               | \ue501     | 58625   
ship-wheel                | \ue502     | 58626   
square-m                  | \ue503     | 58627   
tractor                   | \ue504     | 58628   
traffic-cone              | \ue505     | 58629   
train-front               | \ue506     | 58630   
train-front-tunnel        | \ue507     | 58631   
train-track               | \ue508     | 58632   
square-dashed-mouse-pointer | \ue509     | 58633   
tablet-smartphone         | \ue50a     | 58634   
database-zap              | \ue50b     | 58635   
archive-x                 | \ue50c     | 58636   
bug-off                   | \ue50d     | 58637   
bug-play                  | \ue50e     | 58638   
badge-cent                | \ue50f     | 58639   
badge-euro                | \ue510     | 58640   
badge-indian-rupee        | \ue511     | 58641   
badge-japanese-yen        | \ue512     | 58642   
badge-pound-sterling      | \ue513     | 58643   
badge-russian-ruble       | \ue514     | 58644   
badge-swiss-franc         | \ue515     | 58645   
shield-ellipsis           | \ue516     | 58646   
shield-half               | \ue517     | 58647   
shield-minus              | \ue518     | 58648   
shield-plus               | \ue519     | 58649   
circle-percent            | \ue51a     | 58650   
diamond-percent           | \ue51b     | 58651   
square-percent            | \ue51c     | 58652   
slash                     | \ue51d     | 58653   
speech                    | \ue51e     | 58654   
bookmark-check            | \ue51f     | 58655   
bookmark-x                | \ue520     | 58656   
drama                     | \ue521     | 58657   
theater                   | \ue522     | 58658   
cone                      | \ue523     | 58659   
cuboid                    | \ue524     | 58660   
cylinder                  | \ue525     | 58661   
diameter                  | \ue526     | 58662   
drafting-compass          | \ue527     | 58663   
land-plot                 | \ue528     | 58664   
layers                    | \ue529     | 58665   
layers-2                  | \ue52a     | 58666   
pentagon                  | \ue52b     | 58667   
pyramid                   | \ue52c     | 58668   
radius                    | \ue52d     | 58669   
tangent                   | \ue52e     | 58670   
torus                     | \ue52f     | 58671   
weight                    | \ue530     | 58672   
lock-keyhole              | \ue531     | 58673   
lock-keyhole-open         | \ue532     | 58674   
barcode                   | \ue533     | 58675   
fullscreen                | \ue534     | 58676   
scan-barcode              | \ue535     | 58677   
scan-eye                  | \ue536     | 58678   
scan-search               | \ue537     | 58679   
scan-text                 | \ue538     | 58680   
caravan                   | \ue539     | 58681   
flame-kindling            | \ue53a     | 58682   
tent-tree                 | \ue53b     | 58683   
image-down                | \ue53c     | 58684   
map-pinned                | \ue53d     | 58685   
route                     | \ue53e     | 58686   
route-off                 | \ue53f     | 58687   
signpost                  | \ue540     | 58688   
signpost-big              | \ue541     | 58689   
waypoints                 | \ue542     | 58690   
umbrella-off              | \ue543     | 58691   
book-a                    | \ue544     | 58692   
book-audio                | \ue545     | 58693   
book-check                | \ue546     | 58694   
book-headphones           | \ue547     | 58695   
book-heart                | \ue548     | 58696   
book-image                | \ue549     | 58697   
book-open-text            | \ue54a     | 58698   
book-text                 | \ue54b     | 58699   
book-type                 | \ue54c     | 58700   
book-user                 | \ue54d     | 58701   
library-big               | \ue54e     | 58702   
square-library            | \ue54f     | 58703   
circle-power              | \ue550     | 58704   
square-power              | \ue551     | 58705   
git-commit-vertical       | \ue552     | 58706   
git-compare-arrows        | \ue553     | 58707   
git-graph                 | \ue554     | 58708   
git-pull-request-arrow    | \ue555     | 58709   
git-pull-request-create   | \ue556     | 58710   
git-pull-request-create-arrow | \ue557     | 58711   
ribbon                    | \ue558     | 58712   
square-check              | \ue559     | 58713   
audio-lines               | \ue55a     | 58714   
audio-waveform            | \ue55b     | 58715   
disc-album                | \ue55c     | 58716   
drum                      | \ue55d     | 58717   
file-music                | \ue55e     | 58718   
guitar                    | \ue55f     | 58719   
keyboard-music            | \ue560     | 58720   
piano                     | \ue561     | 58721   
message-circle-code       | \ue562     | 58722   
message-circle-dashed     | \ue563     | 58723   
message-circle-heart      | \ue564     | 58724   
message-circle-more       | \ue565     | 58725   
message-circle-off        | \ue566     | 58726   
message-circle-plus       | \ue567     | 58727   
message-circle-question-mark | \ue568     | 58728   
message-circle-reply      | \ue569     | 58729   
message-circle-warning    | \ue56a     | 58730   
message-circle-x          | \ue56b     | 58731   
message-square-code       | \ue56c     | 58732   
message-square-diff       | \ue56d     | 58733   
message-square-dot        | \ue56e     | 58734   
message-square-heart      | \ue56f     | 58735   
message-square-more       | \ue570     | 58736   
message-square-off        | \ue571     | 58737   
message-square-quote      | \ue572     | 58738   
message-square-reply      | \ue573     | 58739   
message-square-share      | \ue574     | 58740   
message-square-text       | \ue575     | 58741   
message-square-warning    | \ue576     | 58742   
message-square-x          | \ue577     | 58743   
user-round-search         | \ue578     | 58744   
user-search               | \ue579     | 58745   
squircle                  | \ue57a     | 58746   
alarm-smoke               | \ue57b     | 58747   
bell-electric             | \ue57c     | 58748   
cctv                      | \ue57d     | 58749   
fire-extinguisher         | \ue57e     | 58750   
pointer-off               | \ue57f     | 58751   
anvil                     | \ue580     | 58752   
brick-wall                | \ue581     | 58753   
fence                     | \ue582     | 58754   
inspection-panel          | \ue583     | 58755   
cooking-pot               | \ue584     | 58756   
a-arrow-down              | \ue585     | 58757   
a-arrow-up                | \ue586     | 58758   
a-large-small             | \ue587     | 58759   
panels-right-bottom       | \ue588     | 58760   
columns-4                 | \ue589     | 58761   
rows-3                    | \ue58a     | 58762   
rows-4                    | \ue58b     | 58763   
bolt                      | \ue58c     | 58764   
drill                     | \ue58d     | 58765   
heater                    | \ue58e     | 58766   
vault                     | \ue58f     | 58767   
washing-machine           | \ue590     | 58768   
between-horizontal-end    | \ue591     | 58769   
between-horizontal-start  | \ue592     | 58770   
between-vertical-end      | \ue593     | 58771   
between-vertical-start    | \ue594     | 58772   
notebook                  | \ue595     | 58773   
notebook-pen              | \ue596     | 58774   
notebook-tabs             | \ue597     | 58775   
notebook-text             | \ue598     | 58776   
notepad-text              | \ue599     | 58777   
notepad-text-dashed       | \ue59a     | 58778   
list-collapse             | \ue59b     | 58779   
blend                     | \ue59c     | 58780   
eclipse                   | \ue59d     | 58781   
paint-roller              | \ue59e     | 58782   
swatch-book               | \ue59f     | 58783   
file-sliders              | \ue5a0     | 58784   
square-arrow-out-down-left | \ue5a1     | 58785   
square-arrow-out-down-right | \ue5a2     | 58786   
square-arrow-out-up-left  | \ue5a3     | 58787   
square-arrow-out-up-right | \ue5a4     | 58788   
receipt-cent              | \ue5a5     | 58789   
receipt-euro              | \ue5a6     | 58790   
receipt-indian-rupee      | \ue5a7     | 58791   
receipt-japanese-yen      | \ue5a8     | 58792   
receipt-pound-sterling    | \ue5a9     | 58793   
receipt-russian-ruble     | \ue5aa     | 58794   
receipt-swiss-franc       | \ue5ab     | 58795   
receipt-text              | \ue5ac     | 58796   
text-search               | \ue5ad     | 58797   
ticket-check              | \ue5ae     | 58798   
ticket-minus              | \ue5af     | 58799   
ticket-percent            | \ue5b0     | 58800   
ticket-plus               | \ue5b1     | 58801   
ticket-slash              | \ue5b2     | 58802   
ticket-x                  | \ue5b3     | 58803   
calendar-fold             | \ue5b4     | 58804   
calendar-minus-2          | \ue5b5     | 58805   
calendar-plus-2           | \ue5b6     | 58806   
webhook-off               | \ue5b7     | 58807   
hand-coins                | \ue5b8     | 58808   
hand-heart                | \ue5b9     | 58809   
hand-platter              | \ue5ba     | 58810   
ambulance                 | \ue5bb     | 58811   
circle-fading-plus        | \ue5bc     | 58812   
headset                   | \ue5bd     | 58813   
clipboard-minus           | \ue5be     | 58814   
clipboard-plus            | \ue5bf     | 58815   
handshake                 | \ue5c0     | 58816   
captions-off              | \ue5c1     | 58817   
radical                   | \ue5c2     | 58818   
square-radical            | \ue5c3     | 58819   
images                    | \ue5c4     | 58820   
telescope                 | \ue5c5     | 58821   
pickaxe                   | \ue5c6     | 58822   
table-cells-merge         | \ue5c7     | 58823   
table-cells-split         | \ue5c8     | 58824   
table-columns-split       | \ue5c9     | 58825   
table-rows-split          | \ue5ca     | 58826   
image-up                  | \ue5cb     | 58827   
earth-lock                | \ue5cc     | 58828   
globe-lock                | \ue5cd     | 58829   
bot-message-square        | \ue5ce     | 58830   
proportions               | \ue5cf     | 58831   
rotate-ccw-square         | \ue5d0     | 58832   
rotate-cw-square          | \ue5d1     | 58833   
app-window-mac            | \ue5d2     | 58834   
dock                      | \ue5d3     | 58835   
cannabis                  | \ue5d4     | 58836   
briefcase-business        | \ue5d5     | 58837   
briefcase-medical         | \ue5d6     | 58838   
ham                       | \ue5d7     | 58839   
hospital                  | \ue5d8     | 58840   
beer-off                  | \ue5d9     | 58841   
worm                      | \ue5da     | 58842   
mouse-off                 | \ue5db     | 58843   
pilcrow-left              | \ue5dc     | 58844   
pilcrow-right             | \ue5dd     | 58845   
keyboard-off              | \ue5de     | 58846   
image-play                | \ue5df     | 58847   
bot-off                   | \ue5e0     | 58848   
diamond-minus             | \ue5e1     | 58849   
diamond-plus              | \ue5e2     | 58850   
