https://lucide.dev/icons/


Glyph Name                | QML Hex    | Decimal
gamepad                   | \ue0de     | 57566   
gamepad-2                 | \ue0df     | 57567   
gavel                     | \ue0e0     | 57568   
gift                      | \ue0e1     | 57569   
git-branch                | \ue0e2     | 57570   
git-commit-horizontal     | \ue0e3     | 57571   
git-merge                 | \ue0e4     | 57572   
git-pull-request          | \ue0e5     | 57573   
github                    | \ue0e6     | 57574   
gitlab                    | \ue0e7     | 57575   
globe                     | \ue0e8     | 57576   
grid-3x3                  | \ue0e9     | 57577   
grip-horizontal           | \ue0ea     | 57578   
grip-vertical             | \ue0eb     | 57579   
hammer                    | \ue0ec     | 57580   
hard-drive                | \ue0ed     | 57581   
hard-hat                  | \ue0ee     | 57582   
hash                      | \ue0ef     | 57583   
haze                      | \ue0f0     | 57584   
headphones                | \ue0f1     | 57585   
heart                     | \ue0f2     | 57586   
hexagon                   | \ue0f3     | 57587   
highlighter               | \ue0f4     | 57588   
house                     | \ue0f5     | 57589   
image                     | \ue0f6     | 57590   
inbox                     | \ue0f7     | 57591   
indian-rupee              | \ue0f8     | 57592   
info                      | \ue0f9     | 57593   
instagram                 | \ue0fa     | 57594   
italic                    | \ue0fb     | 57595   
japanese-yen              | \ue0fc     | 57596   
key                       | \ue0fd     | 57597   
languages                 | \ue0fe     | 57598   
layout-grid               | \ue0ff     | 57599   
library                   | \ue100     | 57600   
life-buoy                 | \ue101     | 57601   
link                      | \ue102     | 57602   
link-2                    | \ue103     | 57603   
link-2-off                | \ue104     | 57604   
linkedin                  | \ue105     | 57605   
list                      | \ue106     | 57606   
list-indent-decrease      | \ue107     | 57607   
list-indent-increase      | \ue108     | 57608   
loader                    | \ue109     | 57609   
loader-circle             | \ue10a     | 57610   
lock                      | \ue10b     | 57611   
lock-open                 | \ue10c     | 57612   
log-in                    | \ue10d     | 57613   
log-out                   | \ue10e     | 57614   
mail                      | \ue10f     | 57615   
map                       | \ue110     | 57616   
map-pin                   | \ue111     | 57617   
maximize                  | \ue112     | 57618   
maximize-2                | \ue113     | 57619   
meh                       | \ue114     | 57620   
menu                      | \ue115     | 57621   
message-circle            | \ue116     | 57622   
message-square            | \ue117     | 57623   
mic                       | \ue118     | 57624   
mic-off                   | \ue119     | 57625   
minimize                  | \ue11a     | 57626   
minimize-2                | \ue11b     | 57627   
minus                     | \ue11c     | 57628   
monitor                   | \ue11d     | 57629   
moon                      | \ue11e     | 57630   
mouse-pointer             | \ue11f     | 57631   
mouse-pointer-click       | \ue120     | 57632   
move                      | \ue121     | 57633   
music                     | \ue122     | 57634   
navigation                | \ue123     | 57635   
navigation-2              | \ue124     | 57636   
network                   | \ue125     | 57637   
octagon                   | \ue126     | 57638   
octagon-alert             | \ue127     | 57639   
octagon-x                 | \ue128     | 57640   
package                   | \ue129     | 57641   
panel-left                | \ue12a     | 57642   
panels-left-bottom        | \ue12b     | 57643   
panels-top-left           | \ue12c     | 57644   
paperclip                 | \ue12d     | 57645   
pause                     | \ue12e     | 57646   
pen                       | \ue12f     | 57647   
pen-line                  | \ue130     | 57648   
pen-tool                  | \ue131     | 57649   
percent                   | \ue132     | 57650   
phone                     | \ue133     | 57651   
phone-call                | \ue134     | 57652   
phone-forwarded           | \ue135     | 57653   
phone-incoming            | \ue136     | 57654   
phone-missed              | \ue137     | 57655   
phone-off                 | \ue138     | 57656   
phone-outgoing            | \ue139     | 57657   
piggy-bank                | \ue13a     | 57658   
pipette                   | \ue13b     | 57659   
play                      | \ue13c     | 57660   
plus                      | \ue13d     | 57661   
pocket                    | \ue13e     | 57662   
pound-sterling            | \ue13f     | 57663   
power                     | \ue140     | 57664   
printer                   | \ue141     | 57665   
radio                     | \ue142     | 57666   
redo                      | \ue143     | 57667   
refresh-ccw               | \ue144     | 57668   
refresh-cw                | \ue145     | 57669   
repeat                    | \ue146     | 57670   
rewind                    | \ue147     | 57671   
rotate-ccw                | \ue148     | 57672   
rotate-cw                 | \ue149     | 57673   
rss                       | \ue14a     | 57674   
ruler                     | \ue14b     | 57675   
russian-ruble             | \ue14c     | 57676   
save                      | \ue14d     | 57677   
scissors                  | \ue14e     | 57678   
screen-share              | \ue14f     | 57679   
screen-share-off          | \ue150     | 57680   
search                    | \ue151     | 57681   
send                      | \ue152     | 57682   
server                    | \ue153     | 57683   
settings                  | \ue154     | 57684   
share                     | \ue155     | 57685   
share-2                   | \ue156     | 57686   
sheet                     | \ue157     | 57687   
shield                    | \ue158     | 57688   
shield-ban                | \ue159     | 57689   
shield-off                | \ue15a     | 57690   
shopping-bag              | \ue15b     | 57691   
shopping-cart             | \ue15c     | 57692   
shovel                    | \ue15d     | 57693   
shuffle                   | \ue15e     | 57694   
skip-back                 | \ue15f     | 57695   
